Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista
@chic.gelateria,CHIC gelato senza glutine,Busto Arsizio (VA),Gelateria,434,1,"cercato «""Chic"" gelateria senza glutine Busto Arsizio» → facebook, varesenews, malpensanews, findmeglutenfree: nessun dominio suo. Profilo aperto il 9/9: 4 post, nessun link in bio [verifica-sito] motori «""CHIC gelato senza glutine"" Busto Arsizio»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di CHIC gelato senza glutine e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Mizar Retail Park, corso Sempione 194, Busto Arsizio. Aperta a giugno 2025, gelato 100% senza glutine, «tutto rosa». Profilo giovane: 434 follower e 4 post.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@edenbar_busto,EdenBar,Busto Arsizio (VA),Bar,1220,1,"cercato «""Eden Bar"" Busto Arsizio» → italia.it, autoreserve, tripadvisor, facebook edenbarbusto, moovit: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""EdenBar"" Busto Arsizio»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di EdenBar e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazza Manzoni 17, Busto Arsizio. Lun-sab 7.30-21.30: colazioni, pranzi, aperitivi.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@mio_pubpizzeria,Mio Pub & Pizzeria,Tradate (VA),Pub/pizzeria,558,1,"cercato «""Mio"" pub pizzeria Tradate» → facebook miobarbistrot, restaurantguru, paginebianche: nessun dominio suo. Ha anche il profilo gemello @mio_barbistrot. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Mio Pub & Pizzeria"" Tradate»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Mio Pub & Pizzeria e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via dei Pradacci, Tradate · 392 3393183 · barbistrotmio@gmail.com. Caffetteria, pranzi di lavoro, pub, pizzeria, partite. Scrivere a uno solo dei due profili (questo).",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@pizzeria_lobidu,Pizzeria Lobidù,Tradate (VA),Pizzeria,259,1,"cercato «""Lobidù"" pizzeria Tradate» → tripadvisor, thefork, facebook, deliveroo, sluurpy, paginegialle, restaurantguru, ordina-online, e una pagina generata su menufyy: nessun dominio suo. Profilo aperto il 9/9: bio vuota, nessun link [verifica-sito] motori «""Pizzeria Lobidù"" Tradate»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Pizzeria Lobidù e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via IV Novembre 13, Tradate. Pizzeria siciliana, cannoli, 9,2 su TheFork. ⚠ 259 follower e bio vuota: profilo poco curato.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@angolo53,Pizzeria Angolo 53,Somma Lombardo (VA),Pizzeria,755,1,"cercato «""Angolo 53"" pizzeria Somma Lombardo» → foursquare, tripadvisor, facebook angolo53, foodiestrip, restaurantguru, paginegialle, piatti.menu: nessun dominio suo. Profilo aperto il 9/9: il link in bio è un PDF del menù 2020 ospitato su btpsoftel.com, il dominio di un fornitore [verifica-sito] motori «""Pizzeria Angolo 53"" Somma Lombardo»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Pizzeria Angolo 53 e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Briante 53, Somma Lombardo. Impasti di kamut, integrale e carbone vegetale. In bio c'è un menù in PDF del 2020 su un dominio altrui: nessun sito.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@ristorantetivoli,Ristorante Pizzeria Tivoli,Sesto Calende (VA),Ristorante/pizzeria,203,1,"cercato «""Tivoli"" ristorante pizzeria Sesto Calende» → facebook RistorantePizzeriaTivoli, virgilio, sluurpy, restaurantguru, cylex, piatti.menu, gustoegusti, paginegialle: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Ristorante Pizzeria Tivoli"" Sesto Calende»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Ristorante Pizzeria Tivoli e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Manzoni 55, Sesto Calende · 0331 924460. Dal 1995, tre sale più veranda, forno a legna. ⚠ 203 follower e 22 post.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@alsestogusto,Al Sesto Gusto,Sesto Calende (VA),Ristorante/pizzeria,1355,1,"cercato «""Al Sesto Gusto"" Sesto Calende» → restaurantguru (Il Sesto Gusto, Sesto Calende); gli altri risultati sono l'omonimo di Sesto San Giovanni e sestogustobistrot.it, che è un altro locale: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Al Sesto Gusto"" Sesto Calende»: 8 risultati · domini: sestogustobistrot.it (DNS morto); hackerone.com (non risponde); status.brave.app (DNS morto) · directory: instagram.com, thefork.it, tripadvisor.it, justeat.it",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Al Sesto Gusto e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Sesto Calende. Ristorante e pizzeria, carne e pesce, «aperti tutti i giorni». Attenzione all'omonimo di Sesto San Giovanni (MI).",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@ristorante_piazzaabba,Piazza Abba La Reclame,Sesto Calende (VA),Ristorante/pizzeria,1203,4,"cercato «""Piazza Abba"" OR ""La Reclame"" ristorante Sesto Calende» → tripadvisor, facebook, yelp, piatti.menu, restaurantguru, wanderboat: l'email è info@piazzaabbalareclame.it ma il dominio è NXDOMAIN su Cloudflare DoH (9/9). Profilo aperto il 9/9: in bio c'è ancora www.piazzaabbalareclame.it [verifica-sito] motori «""Piazza Abba La Reclame"" Sesto Calende»: 19 risultati · domini: piatti.menu (piattaforma: Piatti.menu - Trova i menu vicino a te); mymenuweb.com (vivo: MyMenuWeb - Discover the best restaurants); gustoegusti.it (DNS morto); ristorantesacroeprofano.it (DNS morto); pizzeriasaronno.it (DNS morto); hackerone.com (non risponde); status.brave.app (DNS morto) · directory: restaurantguru.it, facebook.com, m.facebook.com, paginebianche.it",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Piazza Abba La Reclame e il link al sito piazzaabbalareclame.it che ha in bio non porta più da nessuna parte.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazza Abba 8, Sesto Calende · 0331 913167. Pizze artigianali, 4,1 su Tripadvisor con 341 recensioni. Il dominio in bio è morto: gancio forte.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@albranca2020,Al Branca Ristorante,Luino (VA),Ristorante,2170,1,"cercato «""Al Branca"" ristorante Luino Marconi» → luinonotizie, leggimenu (menù digitale), garlini.it, visitluino, restaurantguru: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Al Branca Ristorante"" Luino»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Al Branca Ristorante e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazzale Marconi 18, Luino · 0332 1699578. Aperto nel 2020 da Mariana e Paolo, pesce e pasta fresca.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
@legamidigustoluino,Legàmi di Gusto,Luino (VA),Pizzeria,675,1,"cercato «""Legàmi di Gusto"" OR ""Legami di Gusto"" pizzeria Luino» → app fidelity su Google Play, wanderlog, virgilio, luinonotizie, paginebianche, bestiebite, territoryrank, paginegialle: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Legàmi di Gusto"" Luino»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Legàmi di Gusto e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazza Libertà 24, Luino · 0332 795753. Davanti all'imbarcadero, lunga lievitazione, 4,4 su Google.",2026-09-09-instagram-ristorazione-va-co-lc-bg.csv
